City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,songjianghe,42.1859,127.479,19.64,17,17,3.08,CN,1683783669
1,sarkhej,22.9833,72.5,38.07,22,0,4.12,IN,1683783669
2,iqaluit,63.7506,-68.5145,-8.15,79,0,7.72,CA,1683783669
3,margaret river,-33.95,115.0667,15.99,53,99,2.24,AU,1683783670
4,punta arenas,-53.15,-70.9167,6.06,87,75,4.63,CL,1683783384
5,port-aux-francais,-49.35,70.2167,6.86,89,95,12.07,TF,1683783670
6,dunedin,-45.8742,170.5036,6.56,84,79,5.36,NZ,1683783644
7,puerto natales,-51.7236,-72.4875,6.93,88,76,2.73,CL,1683783671
8,alofi,-19.0595,-169.9187,25.94,89,9,4.12,NU,1683783672
9,bilibino,68.0546,166.4372,3.74,80,94,1.62,RU,1683783672
10,island harbour,50.724,-1.2758,11.1,93,61,0.45,GB,1683783384
11,adamstown,-25.066,-130.1015,22.01,55,100,9.74,PN,1683783672
12,uturoa,-16.7333,-151.4333,26.95,80,91,10.91,PF,1683783672
13,ujae,8.9322,165.7642,27.98,80,98,7.3,MH,1683783672
14,hawaiian paradise park,19.5933,-154.9731,22.8,89,100,0.0,US,1683783673
15,tuy hoa,13.0833,109.3,31.52,67,100,4.54,VN,1683783387
16,umluj,25.0213,37.2685,28.22,29,0,1.12,SA,1683783673
17,port augusta,-32.5,137.7667,21.01,30,34,4.64,AU,1683783673
18,waitangi,-43.9535,-176.5597,11.01,87,64,2.68,NZ,1683783673
19,whitehorse,60.7161,-135.0538,12.43,35,75,1.54,CA,1683783391
20,lebu,-37.6167,-73.65,11.83,94,80,4.14,CL,1683783673
21,udachny,66.4167,112.4,-0.86,33,76,6.82,RU,1683783673
22,kosh-agach,50.0,88.6667,12.73,40,88,2.35,RU,1683783674
23,ribeira grande,38.5167,-28.7,15.99,83,26,5.81,PT,1683783674
24,aasiaat,68.7098,-52.8699,-10.6,94,26,3.97,GL,1683783674
25,grytviken,-54.2811,-36.5092,-2.02,78,23,5.34,GS,1683783674
26,tshikapa,-6.4167,20.8,22.98,71,13,1.15,CD,1683783674
27,georgetown,5.4112,100.3354,33.96,66,20,3.6,MY,1683783600
28,blackmans bay,-43.0167,147.3167,14.85,62,26,0.9,AU,1683783674
29,remire-montjoly,4.9167,-52.2667,24.02,100,100,1.03,GF,1683783375
30,puerto ayora,-0.7393,-90.3518,25.86,97,52,0.89,EC,1683783675
31,pontes e lacerda,-15.2261,-59.3353,20.25,98,91,0.75,BR,1683783675
32,isafjordur,66.0755,-23.124,6.1,88,27,2.0,IS,1683783675
33,atafu village,-8.5421,-172.5159,29.22,78,66,8.37,TK,1683783675
34,port elizabeth,-33.918,25.5701,17.95,90,0,8.23,ZA,1683783675
35,albany,42.6001,-73.9662,11.62,65,4,1.34,US,1683783609
36,nieuw amsterdam,5.8833,-55.0833,25.01,93,99,1.2,SR,1683783676
37,avarua,-21.2078,-159.775,25.03,78,75,6.69,CK,1683783676
38,rongelap,11.1635,166.8941,26.64,85,100,6.79,MH,1683783676
39,tazovsky,67.4667,78.7,-10.94,87,31,5.43,RU,1683783398
40,takoradi,4.8845,-1.7554,26.81,84,100,3.6,GH,1683783676
41,camana,-16.6228,-72.7111,18.89,86,40,3.34,PE,1683783676
42,west island,-12.1568,96.8225,29.99,79,40,9.77,CC,1683783676
43,stanley,54.868,-1.6985,9.29,93,0,1.03,GB,1683783677
44,ilulissat,69.2167,-51.1,-1.99,69,100,5.14,GL,1683783677
45,zouerate,22.7187,-12.4521,27.41,26,43,2.74,MR,1683783677
46,bethel,41.3712,-73.414,12.31,79,0,0.0,US,1683783677
47,jumla,29.2747,82.1838,18.57,30,45,2.86,NP,1683783543
48,edinburgh of the seven seas,-37.0676,-12.3116,15.02,66,100,9.01,SH,1683783677
49,mount pearl,47.5166,-52.7813,1.19,90,40,8.75,CA,1683783677
50,ancud,-41.8697,-73.8203,12.75,97,97,4.01,CL,1683783678
51,acarau,-2.8856,-40.12,25.24,87,22,3.62,BR,1683783678
52,talnakh,69.4865,88.3972,-12.66,84,13,5.77,RU,1683783678
53,aldinga beach,-35.2793,138.4604,20.7,62,49,5.87,AU,1683783678
54,ola,59.5833,151.2833,2.76,77,28,3.92,RU,1683783678
55,klyuchi,52.2667,79.1667,26.51,29,94,9.98,RU,1683783678
56,bakchar,57.0186,82.0711,11.65,43,100,3.4,RU,1683783678
57,mitu,1.1983,-70.1733,21.63,100,100,0.39,CO,1683783679
58,tiksi,71.6872,128.8694,-9.54,75,49,12.69,RU,1683783679
59,zyryanskoye,56.8306,86.6258,13.2,29,99,2.71,RU,1683783679
60,peace river,56.2501,-117.286,12.17,62,20,1.54,CA,1683783624
61,hermanus,-34.4187,19.2345,13.78,90,85,5.39,ZA,1683783679
62,quellon,-43.1167,-73.6167,13.14,100,75,2.06,CL,1683783679
63,port mathurin,-19.6833,63.4167,25.5,74,90,8.89,MU,1683783679
64,kaa-khem,51.6833,94.7333,13.28,25,24,1.64,RU,1683783680
65,magumeri,12.1131,12.8274,28.71,34,89,4.03,NG,1683783680
66,ushuaia,-54.8,-68.3,11.81,54,40,4.63,AR,1683783680
67,brisas de zicatela,15.8369,-97.0419,28.25,73,54,4.84,MX,1683783680
68,kalmunai,7.4167,81.8167,30.68,66,99,2.0,LK,1683783680
69,constantia,44.1833,28.65,12.61,61,0,4.43,RO,1683783680
70,chichiriviche,10.9333,-68.2772,25.57,87,100,4.34,VE,1683783681
71,petropavlovsk-kamchatsky,53.0452,158.6483,4.33,60,75,3.0,RU,1683783681
72,paciran,-6.8767,112.3761,26.2,88,94,1.95,ID,1683783681
73,fale old settlement,-9.3852,-171.2468,29.32,76,7,7.42,TK,1683783681
74,magadan,59.5667,150.8,2.95,76,19,3.31,RU,1683783681
75,turkmenbasy,40.0222,52.9552,22.43,46,0,2.06,TM,1683783681
76,invercargill,-46.4,168.35,8.34,95,91,1.34,NZ,1683783681
77,buka,40.8108,69.1986,32.31,11,85,0.93,UZ,1683783682
78,lagdo,9.05,13.7333,30.68,42,92,1.68,CM,1683783682
79,san carlos del zulia,9.0,-71.9135,25.38,85,100,2.09,VE,1683783682
80,jamestown,42.097,-79.2353,8.8,80,0,3.6,US,1683783598
81,hargeysa,9.56,44.065,24.86,58,67,8.93,SO,1683783682
82,jalai nur,49.45,117.7,18.02,38,100,5.87,CN,1683783682
83,esmeraldas,-19.7625,-44.3139,18.48,90,95,1.33,BR,1683783683
84,dudinka,69.4058,86.1778,-12.43,87,53,6.42,RU,1683783683
85,qaqortoq,60.7167,-46.0333,1.73,91,100,1.89,GL,1683783683
86,bubaque,11.2833,-15.8333,26.86,68,100,5.63,GW,1683783683
87,la passe,45.5549,-0.8967,11.66,84,47,4.27,FR,1683783683
88,bredasdorp,-34.5322,20.0403,15.1,89,88,6.09,ZA,1683783683
89,wladyslawowo,54.7909,18.4009,14.12,67,17,7.22,PL,1683783705
90,happy valley-goose bay,53.3168,-60.3315,-0.83,64,75,2.06,CA,1683783705
91,kalpatta,11.6106,76.0822,30.31,57,87,1.73,IN,1683783705
92,angat,14.9333,121.0333,32.12,58,93,1.95,PH,1683783706
93,cooper's town,26.8667,-77.5167,24.82,67,0,4.65,BS,1683783706
94,tolanaro,-25.0319,46.9987,23.04,88,40,5.14,MG,1683783706
95,khomeyn,33.6423,50.0789,19.34,19,36,2.23,IR,1683783706
96,bonthe,7.5264,-12.505,26.68,79,96,1.25,SL,1683783706
97,longyearbyen,78.2186,15.6401,0.91,86,75,4.12,SJ,1683783706
98,aban,56.67,96.06,11.88,25,17,2.8,RU,1683783707
99,hakha,22.65,93.6167,30.23,18,41,0.43,MM,1683783707
100,thompson,55.7435,-97.8558,9.09,100,20,3.6,CA,1683783707
101,st. john's,47.5649,-52.7093,1.65,90,40,8.75,CA,1683783540
102,garden city,42.3256,-83.331,15.66,75,20,0.0,US,1683783707
103,cill airne,52.05,-9.5167,9.59,94,59,3.71,IE,1683783707
104,papatowai,-46.5619,169.4708,9.79,79,94,6.73,NZ,1683783707
105,nuuk,64.1835,-51.7216,1.34,100,100,4.12,GL,1683783708
106,keflavik,64.0049,-22.5624,6.95,100,100,3.09,IS,1683783708
107,el porvenir,13.7617,-87.3458,25.63,82,83,0.84,HN,1683783708
108,camiri,-20.05,-63.5167,15.77,91,99,0.97,BO,1683783708
109,promyshlennaya,54.9159,85.6385,12.53,36,100,2.91,RU,1683783708
110,gamba,-2.65,10.0,25.06,92,88,1.27,GA,1683783708
111,wulingyuan,29.3494,110.5441,20.72,69,98,0.79,CN,1683783708
112,fortuna,40.5982,-124.1573,12.03,95,100,1.54,US,1683783708
113,wailua homesteads,22.0669,-159.378,23.24,85,100,5.66,US,1683783709
114,puerto baquerizo moreno,-0.9,-89.6,25.93,88,93,3.76,EC,1683783709
115,olonkinbyen,70.9221,-8.7187,0.33,98,100,6.47,SJ,1683783709
116,lata,40.1629,-8.3327,10.6,90,8,2.02,PT,1683783709
117,illizi,26.4833,8.4667,21.17,32,21,4.11,DZ,1683783709
118,fatehpur,25.9333,80.8,39.51,6,0,4.37,IN,1683783709
119,cam ranh,11.9214,109.1591,33.98,55,20,6.17,VN,1683783710
120,plastun,44.7561,136.2939,12.31,61,48,3.59,RU,1683783710
121,vila franca do campo,37.7167,-25.4333,16.23,87,63,2.21,PT,1683783710
122,menongue,-14.6585,17.691,15.19,52,12,1.68,AO,1683783710
123,oranjemund,-28.55,16.4333,12.58,98,100,3.14,NA,1683783710
124,boajibu,8.1833,-11.3333,24.03,88,100,0.8,SL,1683783710
125,mongu,-15.2484,23.1274,17.33,46,5,2.7,ZM,1683783711
126,malango,-2.9627,119.9001,28.96,63,68,1.45,ID,1683783711
127,san patricio,28.017,-97.5169,26.97,94,21,5.16,US,1683783711
128,ierapetra,35.01,25.7353,18.41,68,90,5.81,GR,1683783711
129,callao,-12.0667,-77.15,21.51,78,100,3.09,PE,1683783711
130,manokwari,-0.8667,134.0833,27.97,79,83,2.3,ID,1683783711
131,kapuskasing,49.4169,-82.4331,7.05,81,75,1.54,CA,1683783712
132,vorgashor,67.5833,63.95,-6.17,87,75,1.78,RU,1683783712
133,college,64.8569,-147.8028,15.18,40,75,2.06,US,1683783712
134,chonchi,-42.6128,-73.8092,12.84,99,72,1.1,CL,1683783712
135,vadso,70.0744,29.7487,6.49,81,75,5.14,NO,1683783712
136,bagli,22.65,76.35,39.22,6,1,1.86,IN,1683783712
